|A -> 1R
2|B -> 4R
3|A -> 15R
4|B -> 14R
5|A -> 7R
6|B -> 12R
7|A -> 1R
8|B -> 2R
9|A -> 5R
10|B -> 4R
11|A -> 5R
12|B -> 10B
13|A -> 11R
14|B -> 12R
15|A -> 3TB
16|B -> 10R
17|A -> 7TR
18|B -> 4B
19|A -> 15R
20|B -> 12R
21|A -> 5TR
22|B -> 16TB
23|A -> 7TR
24|B -> 10R
25|A -> 3R
26|B -> 12TB
27|A -> 5R
28|B -> 14R
29|A -> 7R
30|B -> 10B
31|A -> 11R
32|B -> 10TR
33|A -> 13R
34|B -> 2R
35|A -> 15R
36|B -> 6R
37|A -> 11R
38|B -> 6TR
39|A -> 1R
40|B -> 16R
41|A -> 13R
42|B -> 2R
43|A -> 9TB
44|B -> 12TR
45|A -> 7TR
46|B -> 14B
47|A -> 9R
48|B -> 10TR
49|A -> 15R
50|B -> 16TR
51|A -> 1R
52|B -> 8B
53|A -> 1TR
54|B -> 4B
55|A -> 3B
56|B -> 14TB
57|A -> 13R
58|B -> 4TB
59|A -> 5TR
60|B -> 6TR
61|A -> 1TR
62|B -> 2R
63|A -> 11R
64|B -> 12R
65|A -> 7TR
66|B -> 2B
67|A -> 3B
68|B -> 4B
69|A -> 13R
70|B -> 14R
71|A -> 1R
72|B -> 4R
73|A -> 5R
74|B -> 16R
75|A -> 7R
76|B -> 2R
77|A -> 15B
78|B -> 16B
79|A -> 13B
80|B -> 4B
81|A -> 11TR
82|B -> 12TR
83|A -> 1R
84|B -> 14B
85|A -> 15R
86|B -> 16R
87|A -> 3TB
88|B -> 6TR
89|A -> 1R
90|B -> 2R
91|A -> 9B
92|B -> 2B
93|A -> 3R
94|B -> 6R
95|A -> 3B
96|B -> 10R
97|A -> 7R
98|B -> 2TB
99|A -> 5R
100|B -> 6R
101|A -> 7R
102|B -> 14TR
103|A -> 3TB
104|B -> 4TR
105|A -> 7TR
106|B -> 8TB
107|A -> 11TB
108|B -> 16B
109|A -> 11R
110|B -> 4B
111|A -> 1TR
112|B -> 2B
113|A -> 15TR
114|B -> 2TR
115|A -> 15B
116|B -> 14B
117|A -> 13B
118|B -> 4TR
119|A -> 9TB
120|B -> 10TR
121|A -> 11TB
122|B -> 12TR
123|A -> 1B
124|B -> 8R
125|A -> 15R
126|B -> 8B
127|A -> 11R
128|B -> 14R
129|A -> 1TR
130|B -> 10R
131|A -> 11R
132|B -> 12R
RESULT Joueur A disqualifi (timeout)
